Term,Result,True Error,Approximate Error
1,1.0,0.0,
2,1.025,0.030734017095911816,2.499999999999991
3,1.05,0.12091042742503214,2.4390243902439157
4,1.075,0.26757521968056674,2.3809523809523725
5,1.1,0.4678840160444468,2.32558139534885
6,1.125,0.7190984592330176,2.2727272727272645
7,1.15,1.0185827111183547,2.2222222222222143
8,1.175,1.363800059618128,2.1739130434782727
9,1.2,1.7523096306421824,2.1276595744680775
10,1.225,2.181763201976311,2.0833333333333446
11,1.25,2.6499021160743848,2.0408163265306047
12,1.275,3.1545542888165206,1.9999999999999927
13,1.3,3.69363131137668,1.960784313725501
14,1.325,4.2651256424254385,1.9230769230769162
15,1.35,4.867107887973686,1.8867924528301987
16,1.375,5.4977241662413165,1.8518518518518452
17,1.4,6.155193555010506,1.818181818181812
18,1.425,6.8378056189967635,1.7857142857142954
19,1.45,7.54391801484287,1.7543859649122744
20,1.475,8.271954171409538,1.7241379310344922
21,1.5,9.02040104310499,1.6949152542372818
22,1.525,9.78780693406071,1.6666666666666607
23,1.55,10.57277939102456,1.6393442622950907
24,1.5750000000000002,11.373983162904475,1.6129032258064602
25,1.6,12.190138224955772,1.5873015873015812
26,1.625,13.020017865664082,1.5624999999999944
27,1.65,13.862446834432355,1.538461538461533
28,1.675,14.716299548235511,1.5151515151515234
29,1.7000000000000002,15.580498355460378,1.4925373134328437
30,1.725,16.45401185519998,1.4705882352941122
31,1.75,17.335853270322428,1.4492753623188355
32,1.775,18.225078872683575,1.4285714285714235
33,1.8,19.120786458900106,1.4084507042253596
34,1.8250000000000002,20.022113875146754,1.3888888888888962
35,1.85,20.928237589485573,1.3698630136986252
36,1.875,21.838371310279665,1.3513513513513467
37,1.9,22.751764649286162,1.3333333333333286
38,1.925,23.66770182806387,1.3157894736842175
39,1.9500000000000002,24.585500426372263,1.2987012987013056
40,1.975,25.504510171276518,1.2820512820512773
